commit_idx,seed,source,target,dfs_depth,probability,threshold,accepted,actual_target,cochange_prior
81,34,34,23,0,0.4695418179035187,0.7500000000000002,0,0,1.0
82,2,2,1,0,0.4733016788959503,0.7500000000000002,0,0,0.16666666666666666
82,2,2,12,0,0.31014779210090637,0.7500000000000002,0,0,0.16666666666666666
82,2,2,28,0,0.3955533802509308,0.7500000000000002,0,0,0.06666666666666667
82,2,2,33,0,0.47791069746017456,0.7500000000000002,0,0,0.18181818181818182
82,2,2,4,0,0.5225168466567993,0.7500000000000002,0,0,0.23076923076923078
82,2,2,47,0,0.464486300945282,0.7500000000000002,0,1,0.5
82,2,2,5,0,0.5268042683601379,0.7500000000000002,0,0,0.2
82,2,2,50,0,0.5339869260787964,0.7500000000000002,0,0,1.0
82,2,2,6,0,0.3287163972854614,0.7500000000000002,0,0,0.3333333333333333
83,9,9,101,0,0.4208555817604065,0.7500000000000002,0,0,0.25
83,9,9,102,0,0.43780988454818726,0.7500000000000002,0,0,0.3333333333333333
83,9,9,24,0,0.5266600251197815,0.7500000000000002,0,0,0.5
83,9,9,28,0,0.40351229906082153,0.7500000000000002,0,0,0.0625
83,9,9,33,0,0.41769859194755554,0.7500000000000002,0,0,0.06666666666666667
83,9,9,35,0,0.34354063868522644,0.7500000000000002,0,0,0.07142857142857142
83,9,9,36,0,0.7460358142852783,0.7500000000000002,0,0,0.4
83,9,9,39,0,0.34436389803886414,0.7500000000000002,0,0,0.07692307692307693
83,9,9,44,0,0.36611273884773254,0.7500000000000002,0,0,0.08333333333333333
83,9,9,54,0,0.3502483665943146,0.7500000000000002,0,0,0.09090909090909091
83,9,9,55,0,0.3722779154777527,0.7500000000000002,0,0,0.1
83,9,9,56,0,0.3557862341403961,0.7500000000000002,0,0,0.1111111111111111
83,9,9,83,0,0.36741605401039124,0.7500000000000002,0,0,0.125
83,9,9,89,0,0.4133468568325043,0.7500000000000002,0,0,0.14285714285714285
83,9,9,92,0,0.3886895775794983,0.7500000000000002,0,0,0.16666666666666666
84,9,9,101,0,0.46581292152404785,0.7500000000000002,0,0,0.2
84,9,9,102,0,0.4777545928955078,0.7500000000000002,0,0,0.25
84,9,9,24,0,0.5533736944198608,0.7500000000000002,0,0,0.3333333333333333
84,9,9,28,0,0.4297695457935333,0.7500000000000002,0,0,0.058823529411764705
84,9,9,33,0,0.4424838423728943,0.7500000000000002,0,0,0.0625
84,9,9,35,0,0.3685941994190216,0.7500000000000002,0,0,0.06666666666666667
84,9,9,36,0,0.7587887644767761,0.7500000000000002,1,0,0.3333333333333333
84,9,9,39,0,0.3694368600845337,0.7500000000000002,0,0,0.07142857142857142
84,9,9,44,0,0.3947068452835083,0.7500000000000002,0,0,0.07692307692307693
84,9,9,54,0,0.37706637382507324,0.7500000000000002,0,0,0.08333333333333333
84,9,9,55,0,0.4027341604232788,0.7500000000000002,0,0,0.09090909090909091
84,9,9,56,0,0.38298919796943665,0.7500000000000002,0,0,0.1
84,9,9,80,0,0.7630836963653564,0.7500000000000002,1,0,1.0
85,33,33,2,0,0.6476406455039978,0.7500000000000002,0,0,0.5
85,33,33,7,0,0.683747410774231,0.7500000000000002,0,0,0.3333333333333333
85,33,33,9,0,0.5019229650497437,0.7500000000000002,0,0,0.25
86,48,48,28,0,0.5617976188659668,0.7500000000000002,0,0,0.16666666666666666
