project,shuffle,threshold,prediction_cap,evaluated_commits,clean_f1,clean_mcc,clean_recall,clean_ppv,clean_mean_fp,clean_mean_predicted_size,clean_cap_hit_rate,clean_test_seconds,baseline_note,comparable,baseline_f1,baseline_mcc,baseline_recall,baseline_ppv,delta_f1,delta_mcc,delta_recall,delta_ppv
alamofire,0,0.7500000000000002,3,70,0.658095238095238,0.6770370847738036,0.5642857142857143,0.8666666666666666,0.32857142857142857,1.457142857142857,0.11428571428571428,0.25854579499991814,trimmed_from_140,True,0.645238095238095,0.6673060403104717,0.5285714285714286,0.888095238095238,0.0128571428571429,0.00973104446333195,0.0357142857142857,-0.021428571428571463
alamofire,1,0.7500000000000002,3,70,0.6528571428571428,0.6710499497901493,0.5642857142857143,0.8547619047619047,0.37142857142857144,1.5,0.14285714285714285,0.3707873599996674,,True,0.6466666666666665,0.6613420394554633,0.5642857142857143,0.8285714285714286,0.006190476190476302,0.009707910334685987,0.0,0.026190476190476097
alamofire,2,0.7500000000000002,3,70,0.6552380952380951,0.6722222805942601,0.5714285714285714,0.8476190476190476,0.38571428571428573,1.5285714285714285,0.14285714285714285,0.2702538490011648,,True,0.6628571428571426,0.6829780010939206,0.5571428571428572,0.8857142857142857,-0.007619047619047525,-0.010755720499660448,0.014285714285714235,-0.03809523809523807
alamofire,3,0.7500000000000002,3,70,0.659047619047619,0.6767529947126948,0.5714285714285714,0.8571428571428571,0.35714285714285715,1.5,0.12857142857142856,0.304130055999849,,True,0.6566666666666666,0.6732938540689196,0.5642857142857143,0.8547619047619048,0.0023809523809523725,0.0034591406437751715,0.0071428571428571175,0.0023809523809522615
alamofire,4,0.7500000000000002,3,70,0.6614285714285713,0.6799088844845395,0.5714285714285714,0.8642857142857143,0.34285714285714286,1.4857142857142858,0.12857142857142856,0.32327126400014095,,True,0.6552380952380951,0.675939945375517,0.55,0.8809523809523809,0.006190476190476191,0.003968939109022407,0.021428571428571352,-0.016666666666666607
ant,0,0.9500000000000004,7,381,0.4208360027257666,0.4567935511043888,0.5446256717910261,0.46959755030621175,3.2309711286089238,4.784776902887139,0.48293963254593175,26.587416999999732,,True,0.506460716303236,0.5522857098339604,0.4742907136607924,0.7524559430071242,-0.08562471357746937,-0.09549215872957162,0.07033495813023366,-0.2828583927009124
ant,1,0.9500000000000004,7,381,0.41849649329964295,0.4521635788547503,0.5468003999500063,0.4522372203474565,3.2965879265091864,4.860892388451443,0.47244094488188976,31.91200955400018,,True,0.5156640384986841,0.5630994150686931,0.47019747531558553,0.7806086739157606,-0.0971675451990412,-0.11093583621394282,0.07660292463442075,-0.3283714535683041
ant,2,0.9500000000000004,7,381,0.4185958252887387,0.45427654176993776,0.5372765904261967,0.47105361829771275,3.1653543307086616,4.698162729658793,0.4540682414698163,34.07052957999986,,True,0.5119404800507162,0.5564653273754683,0.47706536682914635,0.7543182102237218,-0.09334465476197756,-0.10218878560553052,0.060211223597050334,-0.28326459192600906
ant,3,0.9500000000000004,7,381,0.4144990908770437,0.44861700210073996,0.5490626171728533,0.4443382077240345,3.3648293963254594,4.918635170603674,0.4881889763779528,34.65422621899961,,True,0.5089995889208487,0.5563671860556241,0.47535308086489186,0.7624734408198975,-0.09450049804380506,-0.10775018395488412,0.07370953630796145,-0.31813523309586306
ant,4,0.9500000000000004,7,381,0.41699810833669104,0.45013415252183225,0.547419072615923,0.44650668666416704,3.341207349081365,4.889763779527559,0.4645669291338583,41.66364556699955,,True,0.5039531189137488,0.5498582443080191,0.47300337457817776,0.7481627296587925,-0.08695501057705779,-0.09972409178618685,0.07441569803774528,-0.30165604299462545
