project,evaluations,comparable_evaluations,f1_wins,mcc_wins,mean_clean_f1,mean_clean_mcc,mean_clean_recall,mean_clean_ppv,mean_baseline_f1,mean_baseline_mcc,mean_delta_f1,mean_delta_mcc,mean_delta_recall,mean_delta_ppv
alamofire,5,5,4,4,0.6573333333333332,0.6753942388710896,0.5685714285714285,0.858095238095238,0.6533333333333331,0.6721719760608584,0.004000000000000048,0.0032222628102310134,0.01571428571428568,-0.009523809523809556
ant,5,5,0,0,0.41788510410557655,0.4523969652703298,0.5450368703912012,0.45674665666791653,0.5094035885374468,0.555615176528353,-0.09151848443187019,-0.10321821125802319,0.07105486814148229,-0.3028571428571428
cassandra,5,5,5,1,0.45637403947713223,0.48914065715307997,0.49740746195385366,0.577618556701031,0.45174819224303764,0.49391688747479484,0.004625847234094626,-0.004776230321714914,0.0617992145311733,-0.09387088856161019
laravel,5,5,0,0,0.6142857142857142,0.6459388698599555,0.5462745098039214,0.8245751633986929,0.6204519140989728,0.6597392441978964,-0.0061661998132586104,-0.013800374337940902,0.04679738562091501,-0.0894117647058823
lucene,5,5,5,5,0.5770699809401839,0.6272984596398431,0.4730668505857423,0.9108060453400503,0.5525185453982313,0.6014503134267367,0.02455143554195267,0.025848146213106448,-0.014809084003038663,0.06832673623605609
monitorcontrol,5,5,5,5,0.5084829239120463,0.5752921607585757,0.363121436850945,0.994535519125683,0.3939675918717181,0.41968940044044567,0.11451533204032818,0.1556027603181299,-0.09084504293520689,0.4409406713505074
pydriller,5,5,5,5,0.5973873873873873,0.6429926826642334,0.4574324324324325,0.972972972972973,0.582046332046332,0.6060463633518897,0.015341055341055298,0.03694631931234378,-0.03986486486486487,0.14481981981981984
react,5,5,0,0,0.5225471240269446,0.5490537251969967,0.6122047832585948,0.557526158445441,0.5712695177269169,0.6036020241132796,-0.04872239369997231,-0.05454829891628268,0.08084454409566515,-0.20082959641255602
rocketmqclients,5,5,4,5,0.4402288248365706,0.48663061309113875,0.420734775357417,0.7070440251572327,0.4264258462555676,0.4656894425088045,0.01380297858100299,0.02094117058233417,-0.0011599232353949108,0.06029350104821809
spark,5,5,5,5,0.5273141467585913,0.5648842681850537,0.5043420536939055,0.7276406035665295,0.4967551470020606,0.5360730424553084,0.030558999756530692,0.02881122572974526,0.04846413874191655,0.005589849108367617
