project,sensitivity,specificity,ppv,gmean,fmeasure,accuracy,mcc,auc
Alamofire,0.561429,0.995314,0.881429,0.741376,0.66581,0.980349,0.684443,0.778371
Gephi,0.409034,0.997089,0.561205,0.607028,0.357619,0.994481,0.40942,0.703062
pyDriller,0.542188,0.986687,0.777604,0.719992,0.602664,0.964622,0.614343,0.764437
Ant,0.48659,0.998043,0.753196,0.671931,0.51892,0.994825,0.562388,0.742317
Hbase,0.532073,0.998808,0.878154,0.708647,0.612811,0.994341,0.653203,0.765441
React,0.60567,0.998702,0.791111,0.761981,0.647404,0.996629,0.670279,0.802186
Cassandra,0.457016,0.998158,0.772812,0.656791,0.519726,0.993808,0.5607,0.727587
Laravel,0.524476,0.998871,0.888345,0.721041,0.645082,0.994368,0.67252,0.761673
Rocketmq clients,0.421413,0.993952,0.662078,0.619653,0.437137,0.982993,0.475385,0.707683
Cassandra website,0.781308,0.950317,0.707788,0.849797,0.709586,0.932384,0.693872,0.865813
Lucene,0.496301,0.998508,0.82343,0.680138,0.554753,0.995539,0.60041,0.747404
Spark,0.485068,0.997498,0.67604,0.673655,0.501159,0.993414,0.534668,0.741283
Flutter,0.430457,0.997046,0.639448,0.632492,0.442763,0.993088,0.481157,0.713752
Monitor control,0.463359,0.962864,0.554475,0.646682,0.407382,0.941351,0.42862,0.713111
WWWsite,0.566667,0.987971,0.820833,0.735005,0.633333,0.966363,0.647561,0.777319
